bigram,frequency,bigrams
"('view', 'vesuvius')",4,view vesuvius
"('modern', 'clean')",4,modern clean
"('lovely', 'stay')",4,lovely stay
"('spa', 'gym')",4,spa gym
"('lovely', 'hotel')",4,lovely hotel
"('next', 'day')",4,next day
"('view', 'harbor')",4,view harbor
"('star', 'hotels')",4,star hotels
"('could', 'see')",4,could see
"('pool', 'great')",4,pool great
"('view', 'restaurant')",4,view restaurant
"('restaurant', '10th')",4,restaurant 10th
"('hotel', 'rooms')",4,hotel rooms
"('wait', 'staff')",4,wait staff
"('next', 'time')",4,next time
"('hotel', 'service')",4,hotel service
"('pool', 'small')",4,pool small
"('king', 'size')",4,king size
"('valet', 'parking')",4,valet parking
"('hotel', 'view')",4,hotel view
"('taking', 'ferry')",4,taking ferry
"('breakfast', 'top')",4,breakfast top
"('old', 'city')",4,old city
"('staff', 'excellent')",4,staff excellent
"('staff', 'amazing')",4,staff amazing
"('nothing', 'much')",4,nothing much
"('staff', 'hotel')",4,staff hotel
"('hotel', 'lovely')",4,hotel lovely
"('beluga', 'restaurant')",3,beluga restaurant
"('great', 'staff')",3,great staff
"('hotels', 'naples')",3,hotels naples
"('first', 'time')",3,first time
"('views', 'bay')",3,views bay
"('hotel', 'nice')",3,hotel nice
"('romeo', 'naples')",3,romeo naples
"('staff', 'everyone')",3,staff everyone
"('make', 'stay')",3,make stay
"('say', 'enough')",3,say enough
"('staying', 'romeo')",3,staying romeo
"('time', 'room')",3,time room
"('hotel', 'friendly')",3,hotel friendly
"('day', 'trips')",3,day trips
"('industrial', 'port')",3,industrial port
"('modern', 'art')",3,modern art
"('spanish', 'quarter')",3,spanish quarter
"('sorrento', 'capri')",3,sorrento capri
"('one', 'day')",3,one day
"('lovely', 'room')",3,lovely room
"('room', 'view')",3,room view
"('pool', 'roof')",3,pool roof
"('helpful', 'breakfast')",3,helpful breakfast
"('boutique', 'hotel')",3,boutique hotel
"('rooms', 'beautiful')",3,rooms beautiful
"('staff', 'outstanding')",3,staff outstanding
"('restaurant', 'excellent')",3,restaurant excellent
"('good', 'restaurants')",3,good restaurants
"('room', 'spa')",3,room spa
"('outdoor', 'pool')",3,outdoor pool
"('new', 'castle')",3,new castle
"('morning', 'flight')",3,morning flight
"('stayed', 'night')",3,stayed night
"('pool', 'gym')",3,pool gym
"('nice', 'nice')",3,nice nice
"('room', 'restaurant')",3,room restaurant
"('comfortable', 'bed')",3,comfortable bed
"('excellent', 'choice')",3,excellent choice
"('water', 'pressure')",3,water pressure
"('best', 'hotels')",3,best hotels
"('beautiful', 'property')",3,beautiful property
"('hotel', 'last')",3,hotel last
"('staff', 'front')",3,staff front
"('best', 'ever')",3,best ever
"('service', 'pool')",3,service pool
"('room', 'large')",3,room large
"('overall', 'great')",3,overall great
"('spend', 'time')",3,spend time
"('breakfast', 'dinner')",3,breakfast dinner
"('extremely', 'helpful')",3,extremely helpful
"('friendly', 'hotel')",3,friendly hotel
"('spacious', 'clean')",3,spacious clean
"('spa', 'facilities')",3,spa facilities
"('stay', 'one')",3,stay one
"('use', 'spa')",3,use spa
"('quite', 'small')",3,quite small
"('great', 'recommendations')",3,great recommendations
"('want', 'visit')",3,want visit
"('room', 'comfortable')",3,room comfortable
"('amazing', 'views')",3,amazing views
"('amazing', 'service')",3,amazing service
"('day', 'trip')",3,day trip
"('make', 'sure')",3,make sure
"('room', 'spacious')",3,room spacious
"('star', 'experience')",3,star experience
"('across', 'port')",3,across port
"('right', 'across')",3,right across
"('great', 'restaurants')",3,great restaurants
"('would', 'absolutely')",3,would absolutely
"('hotel', 'far')",3,hotel far
"('high', 'quality')",3,high quality
"('art', 'pieces')",3,art pieces
"('attentive', 'helpful')",3,attentive helpful
"('bar', 'area')",3,bar area
"('room', 'bathroom')",3,room bathroom
"('arrival', 'staff')",3,arrival staff
"('location', 'good')",3,location good
"('gave', 'great')",3,gave great
"('feel', 'like')",3,feel like
"('rooms', 'facing')",3,rooms facing
"('amazing', 'hotel')",3,amazing hotel
"('reception', 'staff')",3,reception staff
"('port', 'right')",3,port right
"('breakfast', 'included')",3,breakfast included
"('wellness', 'suite')",3,wellness suite
"('restaurant', 'wonderful')",3,restaurant wonderful
"('rooms', 'spacious')",3,rooms spacious
"('restaurant', 'staff')",3,restaurant staff
"('helpful', 'food')",3,helpful food
"('customer', 'service')",3,customer service
"('truly', 'outstanding')",3,truly outstanding
"('really', 'good')",3,really good
"('bay', 'vesuvius')",3,bay vesuvius
"('loved', 'stay')",3,loved stay
"('mini', 'bar')",3,mini bar
"('naples', 'vesuvius')",3,naples vesuvius
"('well', 'designed')",3,well designed
"('early', 'morning')",3,early morning
"('stay', 'would')",3,stay would
"('beds', 'comfortable')",3,beds comfortable
"('seen', 'hotel')",3,seen hotel
"('stayed', 'hotel')",3,stayed hotel
"('vesuvius', 'bay')",3,vesuvius bay
"('restaurant', 'open')",3,restaurant open
"('enjoy', 'stay')",3,enjoy stay
"('plunge', 'pool')",3,plunge pool
"('two', 'hours')",3,two hours
"('restaurant', 'closed')",3,restaurant closed
"('eat', 'restaurant')",3,eat restaurant
"('naples', 'room')",3,naples room
"('first', 'class')",3,first class
"('lobby', 'area')",3,lobby area
"('great', 'place')",3,great place
"('breakfast', 'restaurant')",3,breakfast restaurant
"('bars', 'restaurants')",3,bars restaurants
"('whole', 'room')",3,whole room
"('location', 'near')",3,location near
"('historic', 'sites')",3,historic sites
"('naples', 'would')",3,naples would
"('moment', 'arrived')",3,moment arrived
"('service', 'every')",3,service every
"('service', 'staff')",3,service staff
"('trip', 'italy')",3,trip italy
"('friendly', 'attentive')",3,friendly attentive
"('room', 'great')",3,room great
"('gym', 'spa')",3,gym spa
"('buffet', 'nice')",3,buffet nice
"('room', 'well')",3,room well
"('bustling', 'city')",3,bustling city
"('made', 'feel')",3,made feel
"('fabulous', 'bar')",3,fabulous bar
"('hotel', 'interesting')",3,hotel interesting
"('hotel', 'stayed')",3,hotel stayed
"('steam', 'room')",3,steam room
"('sauna', 'steam')",3,sauna steam
"('last', 'minute')",3,last minute
"('last', 'day')",3,last day
"('staff', 'attentive')",3,staff attentive
"('port', 'cruise')",3,port cruise
"('taxi', 'ride')",3,taxi ride
"('member', 'staff')",3,member staff
"('clean', 'well')",3,clean well
"('restaurant', 'comandante')",3,restaurant comandante
"('many', 'times')",3,many times
"('naples', 'well')",3,naples well
"('welcoming', 'hotel')",3,welcoming hotel
"('would', 'like')",3,would like
"('port', 'view')",3,port view
"('everything', 'hotel')",3,everything hotel
"('extremely', 'nice')",3,extremely nice
"('worked', 'well')",3,worked well
"('great', 'rooftop')",3,great rooftop
"('look', 'forward')",3,look forward
"('got', 'room')",3,got room
"('definitely', 'recommend')",3,definitely recommend
"('breakfast', 'service')",3,breakfast service
"('rooms', 'well')",3,rooms well
"('port', 'naples')",3,port naples
"('view', 'hotel')",3,view hotel
"('room', 'rate')",3,room rate
"('dinner', 'restaurant')",3,dinner restaurant
"('good', 'option')",3,good option
"('salt', 'room')",3,salt room
"('room', 'amazing')",3,room amazing
"('staying', 'hotel')",3,staying hotel
"('much', 'trouble')",3,much trouble
"('helpful', 'room')",3,helpful room
"('unfortunately', 'get')",3,unfortunately get
"('view', 'mount')",3,view mount
"('michelin', 'starred')",3,michelin starred
"('room', 'modern')",3,room modern
"('back', 'soon')",3,back soon
"('easy', 'walk')",3,easy walk
"('wonderful', 'view')",3,wonderful view
"('spa', 'really')",3,spa really
"('comandante', 'michelin')",3,comandante michelin
"('appointed', 'comfortable')",2,appointed comfortable
"('per', 'night')",2,per night
"('left', 'behind')",2,left behind
"('restaurant', 'beautiful')",2,restaurant beautiful
"('around', 'naples')",2,around naples
"('entrance', 'lobby')",2,entrance lobby
"('time', 'would')",2,time would
"('city', 'first')",2,city first
"('restaurant', 'hotel')",2,restaurant hotel
"('would', 'love')",2,would love
"('roof', 'terrace')",2,roof terrace
"('booked', 'romeo')",2,booked romeo
"('tasting', 'menu')",2,tasting menu
"('expected', 'better')",2,expected better
"('closed', 'open')",2,closed open
"('one', 'would')",2,one would
"('hotel', 'lot')",2,hotel lot
"('trip', 'capri')",2,trip capri
"('excellent', 'naples')",2,excellent naples
"('hotel', 'manager')",2,hotel manager
"('beautiful', 'entrance')",2,beautiful entrance
"('amazing', 'beautiful')",2,amazing beautiful
"('hotel', 'restaurant')",2,hotel restaurant
"('main', 'road')",2,main road
"('area', 'around')",2,area around
"('really', 'amazing')",2,really amazing
"('quality', 'staff')",2,quality staff
"('taxi', 'airport')",2,taxi airport
"('warm', 'coffee')",2,warm coffee
"('luke', 'warm')",2,luke warm
"('less', 'money')",2,less money
"('floor', 'serves')",2,floor serves
"('moment', 'walk')",2,moment walk
"('night', 'beginning')",2,night beginning
"('modern', 'well')",2,modern well
"('see', 'website')",2,see website
"('waited', '20mins')",2,waited 20mins
"('view', 'rooms')",2,view rooms
"('trouble', 'staff')",2,trouble staff
"('service', 'top')",2,service top
"('busy', 'area')",2,busy area
"('start', 'hotel')",2,start hotel
"('minute', 'taxi')",2,minute taxi
"('grazie', 'mille')",2,grazie mille
"('staff', 'professional')",2,staff professional
"('overlooking', 'bay')",2,overlooking bay
"('professional', 'breakfast')",2,professional breakfast
"('want', 'spend')",2,want spend
"('ugly', 'building')",2,ugly building
"('dinner', 'comandante')",2,dinner comandante
"('credit', 'card')",2,credit card
"('cleaned', 'high')",2,cleaned high
"('breakfast', 'nice')",2,breakfast nice
"('modern', 'sleek')",2,modern sleek
"('location', 'ideal')",2,location ideal
"('welcoming', 'helpful')",2,welcoming helpful
"('need', 'charge')",2,need charge
"('super', 'modern')",2,super modern
"('really', 'felt')",2,really felt
"('breakfast', 'pool')",2,breakfast pool
"('room', 'room')",2,room room
"('stunning', 'service')",2,stunning service
"('napoli', 'hotel')",2,napoli hotel
"('busy', 'city')",2,busy city
"('use', 'space')",2,use space
"('decor', 'eclectic')",2,decor eclectic
"('hotel', 'stylish')",2,hotel stylish
"('gulf', 'naples')",2,gulf naples
"('truly', 'beautiful')",2,truly beautiful
"('expensive', 'room')",2,expensive room
"('comfortable', 'welcoming')",2,comfortable welcoming
"('kind', 'attentive')",2,kind attentive
"('specifically', 'selected')",2,specifically selected
"('decor', 'hotel')",2,decor hotel
"('bed', 'good')",2,bed good
"('lovely', 'staff')",2,lovely staff
"('easy', 'get')",2,easy get
"('food', 'drinks')",2,food drinks
"('tried', '9th')",2,tried 9th
"('bottled', 'water')",2,bottled water
"('staff', 'romeo')",2,staff romeo
"('however', 'rooms')",2,however rooms
"('great', 'facilities')",2,great facilities
"('clean', 'comfortable')",2,clean comfortable
"('showed', 'room')",2,showed room
"('happy', 'hotel')",2,happy hotel
"('friendly', 'people')",2,friendly people
"('selected', 'hotel')",2,selected hotel
"('food', 'views')",2,food views
"('really', 'great')",2,really great
"('stay', 'husband')",2,stay husband
"('art', 'tour')",2,art tour
"('interesting', 'everywhere')",2,interesting everywhere
"('everywhere', 'look')",2,everywhere look
"('decor', 'modern')",2,decor modern
"('modern', 'room')",2,modern room
"('view', 'good')",2,view good
"('way', 'back')",2,way back
"('see', 'view')",2,see view
"('bottle', 'prosecco')",2,bottle prosecco
"('toilet', 'room')",2,toilet room
"('great', 'views')",2,great views
"('loved', 'every')",2,loved every
"('harbour', 'great')",2,harbour great
"('definitely', 'back')",2,definitely back
"('staff', 'person')",2,staff person
"('every', 'staff')",2,every staff
"('restaurant', 'experience')",2,restaurant experience
"('poached', 'eggs')",2,poached eggs
"('staff', 'reception')",2,staff reception
"('week', 'trip')",2,week trip
"('view', 'industrial')",2,view industrial
"('comfy', 'service')",2,comfy service
"('hotel', 'much')",2,hotel much
"('served', '9th')",2,served 9th
"('excellent', 'breakfast')",2,excellent breakfast
"('excellent', 'experience')",2,excellent experience
"('close', 'old')",2,close old
"('easy', 'access')",2,easy access
"('accommodating', 'friendly')",2,accommodating friendly
"('equipped', 'breakfast')",2,equipped breakfast
"('modern', 'design')",2,modern design
"('using', 'naples')",2,using naples
"('room', 'big')",2,room big
"('high', 'tech')",2,high tech
"('hotel', 'high')",2,hotel high
"('romeo', 'staff')",2,romeo staff
"('went', 'way')",2,went way
"('anything', 'could')",2,anything could
"('far', 'best')",2,far best
"('could', 'help')",2,could help
"('sea', 'view')",2,sea view
"('restaurant', 'bar')",2,restaurant bar
"('able', 'get')",2,able get
"('local', 'restaurants')",2,local restaurants
"('beautiful', 'extremely')",2,beautiful extremely
"('everything', 'needed')",2,everything needed
"('nice', 'staff')",2,nice staff
"('city', 'also')",2,city also
"('want', 'stay')",2,want stay
"('ever', 'seen')",2,ever seen
"('style', 'hotel')",2,style hotel
"('experience', 'good')",2,experience good
"('attentive', 'professional')",2,attentive professional
"('min', 'walk')",2,min walk
"('second', 'none')",2,second none
"('delicious', 'food')",2,delicious food
"('light', 'switches')",2,light switches
"('get', 'boat')",2,get boat
"('say', 'romeo')",2,say romeo
"('fantastic', 'hotel')",2,fantastic hotel
"('make', 'trip')",2,make trip
"('top', 'quality')",2,top quality
"('quality', 'service')",2,quality service
"('service', 'outstanding')",2,service outstanding
"('great', 'food')",2,great food
"('walk', 'hotel')",2,walk hotel
"('old', 'town')",2,old town
"('appointed', 'rooms')",2,appointed rooms
"('staff', 'warm')",2,staff warm
"('also', 'good')",2,also good
"('incredibly', 'helpful')",2,incredibly helpful
"('hotel', 'ever')",2,hotel ever
"('also', 'close')",2,also close
"('hotel', 'everything')",2,hotel everything
"('stay', 'exceptional')",2,stay exceptional
"('well', 'managed')",2,well managed
"('close', 'shopping')",2,close shopping
"('helpful', 'gave')",2,helpful gave
"('must', 'get')",2,must get
"('truly', 'exceptional')",2,truly exceptional
"('busy', 'street')",2,busy street
"('though', 'rooms')",2,though rooms
"('fact', 'hotel')",2,fact hotel
"('wonderful', 'even')",2,wonderful even
"('poor', 'service')",2,poor service
"('restaurant', 'room')",2,restaurant room
"('chocolates', 'bottled')",2,chocolates bottled
"('bedside', 'table')",2,bedside table
"('beautiful', 'view')",2,beautiful view
"('work', 'properly')",2,work properly
"('well', 'located')",2,well located
"('located', 'best')",2,located best
"('place', 'warm')",2,place warm
"('kind', 'professional')",2,kind professional
"('wait', 'back')",2,wait back
"('poor', 'poor')",2,poor poor
"('doors', 'poor')",2,doors poor
"('room', 'breakfast')",2,room breakfast
"('stunning', 'hotel')",2,stunning hotel
"('hotel', 'impeccable')",2,hotel impeccable
"('daniella', 'chiara')",2,daniella chiara
"('danilo', 'daniella')",2,danilo daniella
"('mario', 'danilo')",2,mario danilo
"('luka', 'mario')",2,luka mario
"('alessandro', 'luka')",2,alessandro luka
"('room', 'beautiful')",2,room beautiful
"('better', 'view')",2,better view
"('breakfast', 'lunch')",2,breakfast lunch
"('able', 'walk')",2,able walk
"('great', 'helpful')",2,great helpful
"('stay', 'great')",2,stay great
"('wonderful', 'staff')",2,wonderful staff
"('stay', 'special')",2,stay special
"('made', 'stay')",2,made stay
"('capri', 'hotel')",2,capri hotel
"('bit', 'gritty')",2,bit gritty
"('room', 'deluxe')",2,room deluxe
"('pretty', 'much')",2,pretty much
"('deluxe', 'harbor')",2,deluxe harbor
"('bathroom', 'shower')",2,bathroom shower
"('ferry', 'docks')",2,ferry docks
"('due', 'covid')",2,due covid
"('beautiful', 'decor')",2,beautiful decor
"('given', 'space')",2,given space
"('restaurant', 'facilities')",2,restaurant facilities
"('impeccable', 'service')",2,impeccable service
"('attentive', 'staff')",2,attentive staff
"('bit', 'pricey')",2,bit pricey
"('kind', 'helpful')",2,kind helpful
"('warm', 'welcome')",2,warm welcome
"('breakfast', 'served')",2,breakfast served
"('great', 'breakfast')",2,great breakfast
"('staff', 'staff')",2,staff staff
"('booking', 'hotel')",2,booking hotel
"('nice', 'room')",2,nice room
"('literally', 'walked')",2,literally walked
"('pool', 'perfect')",2,pool perfect
"('service', 'amazing')",2,service amazing
"('amazing', 'wines')",2,amazing wines
"('favorite', 'part')",2,favorite part
"('hotel', 'ferry')",2,hotel ferry
"('great', 'care')",2,great care
"('hotel', 'anyone')",2,hotel anyone
"('good', 'points')",2,good points
"('speak', 'english')",2,speak english
"('something', 'everyone')",2,something everyone
"('hotel', 'gorgeous')",2,hotel gorgeous
"('modern', 'excellent')",2,modern excellent
"('options', 'staff')",2,options staff
"('tub', 'nice')",2,tub nice
"('every', 'single')",2,every single
"('bay', 'location')",2,bay location
"('view', 'water')",2,view water
"('family', 'stayed')",2,family stayed
"('good', 'hotel')",2,good hotel
"('lot', 'time')",2,lot time
"('spent', 'lot')",2,spent lot
"('reservation', 'stay')",2,reservation stay
"('naples', 'excellent')",2,naples excellent
"('food', 'restaurants')",2,food restaurants
"('hotel', 'want')",2,hotel want
"('stay', 'two')",2,stay two
"('booked', 'hotel')",2,booked hotel
"('pool', 'restaurant')",2,pool restaurant
"('use', 'pool')",2,use pool
"('trip', 'naples')",2,trip naples
"('stayed', 'wellness')",2,stayed wellness
"('room', 'excellent')",2,room excellent
"('seemed', 'like')",2,seemed like
"('time', 'could')",2,time could
"('would', 'expect')",2,would expect
"('well', 'location')",2,well location
"('air', 'conditioning')",2,air conditioning
"('city', 'great')",2,city great
"('attractive', 'region')",2,attractive region
"('region', 'capri')",2,region capri
"('hotel', 'harbor')",2,hotel harbor
"('nearby', 'hotel')",2,nearby hotel
"('great', 'starting')",2,great starting
"('starting', 'point')",2,starting point
"('across', 'road')",2,across road
"('motion', 'activated')",2,motion activated
"('chaotic', 'city')",2,chaotic city
"('want', 'know')",2,want know
"('place', 'city')",2,place city
"('giant', 'cruise')",2,giant cruise
"('hotel', 'highly')",2,hotel highly
"('however', 'room')",2,however room
"('royal', 'palace')",2,royal palace
"('visit', 'hotel')",2,visit hotel
"('tried', 'book')",2,tried book
"('stayed', 'days')",2,stayed days
"('city', 'many')",2,city many
"('excellent', 'time')",2,excellent time
"('pool', 'pool')",2,pool pool
"('well', 'maintained')",2,well maintained
"('fully', 'booked')",2,fully booked
"('deluxe', 'room')",2,deluxe room
"('hotel', 'lobby')",2,hotel lobby
"('hotel', 'staying')",2,hotel staying
"('bottle', 'wine')",2,bottle wine
"('night', 'got')",2,night got
"('quite', 'large')",2,quite large
"('quick', 'helpful')",2,quick helpful
"('hotel', 'booked')",2,hotel booked
"('ferry', 'ischia')",2,ferry ischia
"('lobby', 'rooms')",2,lobby rooms
"('recommended', 'good')",2,recommended good
"('also', 'enjoyed')",2,also enjoyed
"('beautiful', 'room')",2,beautiful room
"('felt', 'safe')",2,felt safe
"('first', 'night')",2,first night
"('two', 'restaurants')",2,two restaurants
"('breakfast', 'room')",2,breakfast room
"('air', 'conditioned')",2,air conditioned
"('super', 'helpful')",2,super helpful
"('another', 'room')",2,another room
"('room', 'second')",2,room second
"('hotel', 'four')",2,hotel four
"('brand', 'new')",2,brand new
"('say', 'one')",2,say one
"('port', 'mount')",2,port mount
"('take', 'advantage')",2,take advantage
"('people', 'working')",2,people working
"('distance', 'city')",2,distance city
"('romeo', 'wonderful')",2,romeo wonderful
"('stay', 'really')",2,stay really
"('really', 'beautiful')",2,really beautiful
"('hotel', 'wonderful')",2,hotel wonderful
"('stay', 'enjoyed')",2,stay enjoyed
"('expensive', 'hotel')",2,expensive hotel
"('fantastic', 'view')",2,fantastic view
"('looking', 'hotel')",2,looking hotel
"('walk', 'ferry')",2,walk ferry
"('adequate', 'size')",2,adequate size
"('brought', 'room')",2,brought room
"('hot', 'cold')",2,hot cold
"('beautiful', 'location')",2,beautiful location
"('capri', 'stay')",2,capri stay
"('nice', 'location')",2,nice location
"('parking', 'lot')",2,parking lot
"('spa', 'exceptional')",2,spa exceptional
"('pool', 'spa')",2,pool spa
"('centrally', 'located')",2,centrally located
"('time', 'pool')",2,time pool
"('long', 'time')",2,long time
"('front', 'row')",2,front row
"('table', 'front')",2,table front
"('room', 'lovely')",2,room lovely
"('helpful', 'included')",2,helpful included
"('clean', 'staff')",2,clean staff
"('hotel', 'also')",2,hotel also
"('terrace', 'restaurant')",2,terrace restaurant
"('location', 'room')",2,location room
"('good', 'places')",2,good places
"('staff', 'members')",2,staff members
"('staying', 'night')",2,staying night
"('appointed', 'staff')",2,appointed staff
"('stay', 'fabulous')",2,stay fabulous
"('included', 'stay')",2,included stay
"('ask', 'high')",2,ask high
"('high', 'floor')",2,high floor
"('ferries', 'cruise')",2,ferries cruise
"('sorrento', 'amalfi')",2,sorrento amalfi
"('enjoy', 'art')",2,enjoy art
"('spent', 'nights')",2,spent nights
"('port', 'city')",2,port city
"('nice', 'luxurious')",2,nice luxurious
"('staff', 'good')",2,staff good
"('naples', 'many')",2,naples many
"('naples', 'stay')",2,naples stay
"('helpful', 'knowledgeable')",2,helpful knowledgeable
"('night', 'leaving')",2,night leaving
"('room', 'shower')",2,room shower
"('nice', 'place')",2,nice place
"('service', 'wonderful')",2,service wonderful
"('naples', 'really')",2,naples really
"('absolutely', 'stay')",2,absolutely stay
"('port', 'hotel')",2,port hotel
"('comfort', 'room')",2,comfort room
"('extra', 'night')",2,extra night
"('gracious', 'helpful')",2,gracious helpful
"('room', 'best')",2,room best
"('pay', 'full')",2,pay full
"('common', 'spaces')",2,common spaces
"('awesome', 'spa')",2,awesome spa
"('rooftop', 'restaurant')",2,rooftop restaurant
"('places', 'eat')",2,places eat
"('room', 'staff')",2,room staff
"('amazing', 'view')",2,amazing view
"('time', 'hotel')",2,time hotel
"('deluxe', 'harbour')",2,deluxe harbour
"('top', 'breakfast')",2,top breakfast
