bigram,frequency,bigrams
"('overlooking', 'part')",1,overlooking part
"('part', 'docks')",1,part docks
"('docks', 'particularly')",1,docks particularly
"('pleasant', 'area')",1,pleasant area
"('catching', 'flight')",1,catching flight
"('area', 'foyer')",1,area foyer
"('foyer', 'large')",1,foyer large
"('helpful', 'providing')",1,helpful providing
"('pointed', 'arrival')",1,pointed arrival
"('large', 'interesting')",1,large interesting
"('amenities', 'pointed')",1,amenities pointed
"('flight', 'home')",1,flight home
"('stopover', 'catching')",1,stopover catching
"('water', 'features')",1,water features
"('city', 'booked')",1,city booked
"('stay', 'amex')",1,stay amex
"('already', 'bed')",1,already bed
"('bed', 'morning')",1,bed morning
"('flight', 'however')",1,flight however
"('however', 'one')",1,however one
"('booked', 'stay')",1,booked stay
"('night', 'stop')",1,night stop
"('night', 'stopover')",1,night stopover
"('stop', 'would')",1,stop would
"('get', 'around')",1,get around
"('would', 'return')",1,would return
"('information', 'get')",1,information get
"('hotel', 'one')",1,hotel one
"('providing', 'information')",1,providing information
"('interesting', 'water')",1,interesting water
"('features', 'actual')",1,features actual
"('separated', 'sleeping')",1,separated sleeping
"('bathroom', 'arrangements')",1,bathroom arrangements
"('features', 'adequate')",1,features adequate
"('area', 'table')",1,area table
"('size', 'overnight')",1,size overnight
"('overnight', 'stay')",1,overnight stay
"('stay', 'odd')",1,stay odd
"('odd', 'bathroom')",1,odd bathroom
"('arrangements', 'bathroom')",1,arrangements bathroom
"('staff', 'explained')",1,staff explained
"('bathroom', 'area')",1,bathroom area
"('area', 'frosted')",1,area frosted
"('interesting', 'lobby')",1,interesting lobby
"('basement', 'hotel')",1,basement hotel
"('glass', 'sliding')",1,glass sliding
"('doors', 'separated')",1,doors separated
"('explained', 'features')",1,explained features
"('helpful', 'member')",1,helpful member
"('actual', 'reception')",1,actual reception
"('space', 'couple')",1,space couple
"('reception', 'area')",1,reception area
"('area', 'small')",1,area small
"('small', 'barely')",1,small barely
"('day', 'hotel')",1,day hotel
"('barely', 'enough')",1,barely enough
"('notice', 'last')",1,notice last
"('unfortunately', 'notice')",1,unfortunately notice
"('floor', 'helpful')",1,floor helpful
"('games', 'unfortunately')",1,games unfortunately
"('couple', 'customers')",1,couple customers
"('customers', 'time')",1,customers time
"('table', 'games')",1,table games
"('room', 'third')",1,room third
"('third', 'floor')",1,third floor
"('city', 'city')",1,city city
"('view', 'close')",1,view close
"('town', 'lot')",1,town lot
"('hotel', 'city')",1,hotel city
"('tra', 'più')",1,tra più
"('più', 'curate')",1,più curate
"('curate', 'belle')",1,curate belle
"('busy', 'floor')",1,busy floor
"('waiters', 'busy')",1,waiters busy
"('friendly', 'free')",1,friendly free
"('order', 'told')",1,order told
"('belle', 'però')",1,belle però
"('però', 'appunto')",1,però appunto
"('appunto', 'tutto')",1,appunto tutto
"('tutto', 'attorno')",1,tutto attorno
"('asked', 'order')",1,asked order
"('menu', 'asked')",1,menu asked
"('attorno', 'invitante')",1,attorno invitante
"('invitante', 'way')",1,invitante way
"('non', 'tra')",1,non tra
"('porto', 'non')",1,porto non
"('del', 'porto')",1,del porto
"('floor', 'room')",1,floor room
"('weather', 'warm')",1,weather warm
"('warm', 'people')",1,warm people
"('people', 'city')",1,people city
"('city', 'warm')",1,city warm
"('room', 'mediocre')",1,room mediocre
"('warm', 'enough')",1,warm enough
"('enough', 'nice')",1,enough nice
"('zona', 'del')",1,zona del
"('nice', 'escape')",1,nice escape
"('escape', 'south')",1,escape south
"('south', 'città')",1,south città
"('città', 'tante')",1,città tante
"('tante', 'sfaccettature')",1,tante sfaccettature
"('sfaccettature', 'zona')",1,sfaccettature zona
"('way', 'amalfi')",1,way amalfi
"('drinks', 'menu')",1,drinks menu
"('offered', 'drinks')",1,offered drinks
"('great', 'long')",1,great long
"('suite', 'corner')",1,suite corner
"('corner', 'harbour')",1,corner harbour
"('view', 'nuce')",1,view nuce
"('nuce', 'well')",1,nuce well
"('service', 'waited')",1,service waited
"('appointed', 'bed')",1,appointed bed
"('long', 'wait')",1,long wait
"('region', 'room')",1,region room
"('wait', 'pear')",1,wait pear
"('pear', 'juice')",1,pear juice
"('juice', 'never')",1,juice never
"('staff', 'poor')",1,staff poor
"('never', 'came')",1,never came
"('came', 'worst')",1,came worst
"('room', 'junior')",1,room junior
"('visiting', 'region')",1,visiting region
"('even', 'offered')",1,even offered
"('run', 'warehouse')",1,run warehouse
"('coast', 'location')",1,coast location
"('location', 'feels')",1,location feels
"('feels', 'weird')",1,feels weird
"('weird', 'first')",1,weird first
"('first', 'facing')",1,first facing
"('facing', 'run')",1,facing run
"('warehouse', 'turns')",1,warehouse turns
"('get', 'visiting')",1,get visiting
"('turns', 'convenient')",1,turns convenient
"('mins', 'even')",1,mins even
"('convenient', 'walk')",1,convenient walk
"('waited', 'mins')",1,waited mins
"('city', 'well')",1,city well
"('well', 'get')",1,well get
"('well', 'weather')",1,well weather
"('escape', 'well')",1,escape well
"('sunny', 'escape')",1,sunny escape
"('toothpaste', 'marks')",1,toothpaste marks
"('gym', 'facility')",1,gym facility
"('marks', 'still')",1,marks still
"('facility', 'breakfast')",1,facility breakfast
"('breakfast', 'view')",1,breakfast view
"('view', 'one')",1,view one
"('one', 'annoyance')",1,one annoyance
"('day', 'toothpaste')",1,day toothpaste
"('still', 'remaining')",1,still remaining
"('even', 'day')",1,even day
"('annoyance', 'point')",1,annoyance point
"('point', 'automated')",1,point automated
"('unserviced', 'even')",1,unserviced even
"('automated', 'lights')",1,automated lights
"('lights', 'sections')",1,lights sections
"('solid', 'gym')",1,solid gym
"('pool', 'solid')",1,pool solid
"('rooms', 'one')",1,rooms one
"('capri', 'relaxing')",1,capri relaxing
"('port', 'travel')",1,port travel
"('disappointing', 'best')",1,disappointing best
"('travel', 'amalfi')",1,travel amalfi
"('amalfi', 'sorrento')",1,amalfi sorrento
"('far', 'disappointing')",1,far disappointing
"('means', 'star')",1,means star
"('adrift', 'means')",1,adrift means
"('remaining', 'towels')",1,remaining towels
"('relaxing', 'stay')",1,relaxing stay
"('stay', 'property')",1,stay property
"('property', 'perks')",1,property perks
"('perks', 'included')",1,perks included
"('included', 'rooftop')",1,included rooftop
"('towels', 'adrift')",1,towels adrift
"('sections', 'rooms')",1,sections rooms
"('one', 'make')",1,one make
"('looking', 'sunny')",1,looking sunny
"('limited', 'literally')",1,limited literally
"('setting', 'made')",1,setting made
"('turning', 'bed')",1,turning bed
"('made', 'hard')",1,made hard
"('hard', 'regulate')",1,hard regulate
"('regulate', 'either')",1,regulate either
"('literally', 'turning')",1,literally turning
"('either', 'visited')",1,either visited
"('one', 'auto')",1,one auto
"('clearly', 'limited')",1,clearly limited
"('service', 'clearly')",1,service clearly
"('poor', 'turn')",1,poor turn
"('mediocre', 'room')",1,mediocre room
"('visited', 'napoli')",1,visited napoli
"('napoli', 'looking')",1,napoli looking
"('auto', 'setting')",1,auto setting
"('bed', 'covers')",1,bed covers
"('trip', 'bathroom')",1,trip bathroom
"('lights', 'illuminate')",1,lights illuminate
"('untouched', 'unserviced')",1,untouched unserviced
"('bathroom', 'without')",1,bathroom without
"('without', 'triggering')",1,without triggering
"('left', 'untouched')",1,left untouched
"('triggering', 'bright')",1,triggering bright
"('bright', 'lights')",1,bright lights
"('bathroom', 'left')",1,bathroom left
"('thought', 'one')",1,thought one
"('illuminate', 'entire')",1,illuminate entire
"('entire', 'room')",1,entire room
"('bathroom', 'walls')",1,bathroom walls
"('walls', 'glass')",1,walls glass
"('glass', 'thought')",1,glass thought
"('covers', 'bathroom')",1,covers bathroom
"('late', 'already')",1,late already
"('quite', 'late')",1,quite late
"('door', 'quite')",1,door quite
"('knock', 'door')",1,knock door
"('trust', 'rarely')",1,trust rarely
"('rarely', 'lets')",1,rarely lets
"('lets', 'see')",1,lets see
"('see', 'nominated')",1,see nominated
"('nominated', 'chaotic')",1,nominated chaotic
"('city', 'like')",1,city like
"('like', 'naples')",1,like naples
"('many', 'boutique')",1,many boutique
"('hotel', 'showed')",1,hotel showed
"('availability', 'fact')",1,availability fact
"('due', 'availability')",1,due availability
"('boutique', 'options')",1,boutique options
"('options', 'sure')",1,options sure
"('sure', 'probably')",1,sure probably
"('probably', 'one')",1,probably one
"('brand', 'trust')",1,brand trust
"('showed', 'plenty')",1,showed plenty
"('smith', 'hotel')",1,smith hotel
"('filling', 'beautiful')",1,filling beautiful
"('system', 'controls')",1,system controls
"('controls', 'bed')",1,controls bed
"('bed', 'complaint')",1,bed complaint
"('complaint', 'well')",1,complaint well
"('online', 'next')",1,online next
"('nice', 'filling')",1,nice filling
"('plenty', 'availability')",1,plenty availability
"('nominated', 'mrs')",1,nominated mrs
"('beautiful', 'presentation')",1,beautiful presentation
"('presentation', 'location')",1,presentation location
"('good', 'booked')",1,good booked
"('hotel', 'based')",1,hotel based
"('based', 'fact')",1,based fact
"('fact', 'nominated')",1,fact nominated
"('best', 'bunch')",1,best bunch
"('bunch', 'however')",1,bunch however
"('however', '350')",1,however 350
"('great', 'dark')",1,great dark
"('excellent', 'however')",1,excellent however
"('part', 'said')",1,part said
"('sleek', 'quite')",1,sleek quite
"('quite', 'dark')",1,quite dark
"('dark', 'port')",1,dark port
"('area', 'great')",1,area great
"('dark', 'money')",1,dark money
"('said', 'upgrade')",1,said upgrade
"('money', 'could')",1,money could
"('stay', 'fancier')",1,stay fancier
"('gesture', 'part')",1,gesture part
"('fancier', 'chiaia')",1,fancier chiaia
"('huge', 'gesture')",1,huge gesture
"('chiaia', 'district')",1,chiaia district
"('really', 'excellent')",1,really excellent
"('upgrade', 'possible')",1,upgrade possible
"('350', 'night')",1,350 night
"('central', 'want')",1,central want
"('night', 'certainly')",1,night certainly
"('certainly', 'punchy')",1,certainly punchy
"('punchy', 'considering')",1,punchy considering
"('possible', 'due')",1,possible due
"('considering', 'options')",1,considering options
"('options', 'central')",1,options central
"('night', 'naples')",1,night naples
"('option', 'spa')",1,option spa
"('across', 'harbor')",1,across harbor
"('consider', 'close')",1,consider close
"('port', 'molo')",1,port molo
"('molo', 'beverello')",1,molo beverello
"('beverello', 'advantage')",1,beverello advantage
"('advantage', 'good')",1,advantage good
"('motorized', 'system')",1,motorized system
"('drapes', 'motorized')",1,drapes motorized
"('instance', 'drapes')",1,instance drapes
"('hotel', 'group')",1,hotel group
"('expect', 'make')",1,expect make
"('make', 'day')",1,make day
"('day', 'wow')",1,day wow
"('wow', 'refreshingly')",1,wow refreshingly
"('refreshingly', 'unique')",1,refreshingly unique
"('unique', 'hotel')",1,unique hotel
"('group', 'warmly')",1,group warmly
"('small', 'space')",1,small space
"('warmly', 'welcomed')",1,warmly welcomed
"('welcomed', 'beautiful')",1,welcomed beautiful
"('beautiful', 'lobby')",1,beautiful lobby
"('lobby', 'refreshments')",1,lobby refreshments
"('refreshments', 'pastries')",1,refreshments pastries
"('pastries', 'got')",1,pastries got
"('space', 'expect')",1,space expect
"('really', 'small')",1,really small
"('found', 'lovely')",1,found lovely
"('stay', 'comment')",1,stay comment
"('lot', 'walkable')",1,lot walkable
"('walkable', 'attractions')",1,walkable attractions
"('attractions', 'two')",1,attractions two
"('two', 'bedroom')",1,two bedroom
"('suite', 'stunning')",1,suite stunning
"('stunning', 'would')",1,stunning would
"('comment', 'made')",1,comment made
"('larger', 'really')",1,larger really
"('made', 'photos')",1,made photos
"('photos', 'pool')",1,photos pool
"('got', 'five')",1,got five
"('pool', 'look')",1,pool look
"('look', 'much')",1,look much
"('much', 'larger')",1,much larger
"('room', 'found')",1,room found
"('lovely', 'hand')",1,lovely hand
"('switches', 'instance')",1,switches instance
"('complaint', 'struggled')",1,complaint struggled
"('modern', 'classy')",1,modern classy
"('classy', 'bed')",1,classy bed
"('comfortable', 'slept')",1,comfortable slept
"('slept', 'well')",1,slept well
"('well', 'one')",1,well one
"('small', 'complaint')",1,small complaint
"('struggled', 'bit')",1,struggled bit
"('slippers', 'bed')",1,slippers bed
"('bit', 'lights')",1,bit lights
"('lights', 'switches')",1,lights switches
"('another', 'lie')",1,another lie
"('category', 'another')",1,category another
"('room', 'category')",1,room category
"('next', 'room')",1,next room
"('bed', 'room')",1,bed room
"('placed', 'slippers')",1,placed slippers
"('hand', 'written')",1,hand written
"('day', 'even')",1,day even
"('availability', 'got')",1,availability got
"('showed', 'availability')",1,showed availability
"('written', 'note')",1,written note
"('note', 'decadent')",1,note decadent
"('decadent', 'chocolate')",1,decadent chocolate
"('chocolate', 'day')",1,chocolate day
"('confronted', 'showed')",1,confronted showed
"('service', 'placed')",1,service placed
"('even', 'different')",1,even different
"('different', 'treat')",1,different treat
"('treat', 'waiting')",1,treat waiting
"('lie', 'confronted')",1,lie confronted
"('waiting', 'even')",1,waiting even
"('even', 'turn')",1,even turn
"('like', 'huge')",1,like huge
"('district', 'heart')",1,district heart
"('heart', 'said')",1,heart said
"('reservation', 'booked')",1,reservation booked
"('total', 'lie')",1,total lie
"('shuttle', 'next')",1,shuttle next
"('expedia', 'total')",1,expedia total
"('booked', 'expedia')",1,booked expedia
"('morning', 'bonus')",1,morning bonus
"('bonus', 'shuttle')",1,bonus shuttle
"('shuttle', 'quiet')",1,shuttle quiet
"('walk', 'airport')",1,walk airport
"('quiet', 'everyone')",1,quiet everyone
"('everyone', 'got')",1,everyone got
"('got', 'port')",1,got port
"('port', 'got')",1,port got
"('got', 'seat')",1,got seat
"('seat', 'board')",1,seat board
"('lie', 'presented')",1,lie presented
"('town', 'easy')",1,town easy
"('board', 'train')",1,board train
"('breakfast', 'delight')",1,breakfast delight
"('reservation', 'fact')",1,reservation fact
"('staff', 'areas')",1,staff areas
"('areas', 'used')",1,areas used
"('confirmation', 'reservation')",1,confirmation reservation
"('used', 'extraordinarily')",1,used extraordinarily
"('extraordinarily', 'gracious')",1,extraordinarily gracious
"('delight', 'hotel')",1,delight hotel
"('presented', 'proof')",1,presented proof
"('amex', 'confirmation')",1,amex confirmation
"('written', 'amex')",1,written amex
"('hotel', 'conveniently')",1,hotel conveniently
"('proof', 'written')",1,proof written
"('located', 'taking')",1,located taking
"('ferry', 'town')",1,ferry town
"('told', 'reservation')",1,told reservation
"('station', 'guests')",1,station guests
"('fact', 'booked')",1,fact booked
"('enjoyed', 'bottle')",1,enjoyed bottle
"('spa', 'downstairs')",1,spa downstairs
"('fhr', 'benefits')",1,fhr benefits
"('downstairs', 'treat')",1,downstairs treat
"('treat', 'room')",1,treat room
"('room', 'honeymoon')",1,room honeymoon
"('honeymoon', 'enjoyed')",1,honeymoon enjoyed
"('prosecco', 'brought')",1,prosecco brought
"('hotel', 'free')",1,hotel free
"('brought', 'negative')",1,brought negative
"('negative', 'housekeeping')",1,negative housekeeping
"('housekeeping', 'came')",1,housekeeping came
"('get', 'fhr')",1,get fhr
"('came', 'knock')",1,came knock
"('amex', 'get')",1,amex get
"('free', 'access')",1,free access
"('directly', 'hotel')",1,directly hotel
"('desk', 'told')",1,desk told
"('slvia', 'two')",1,slvia two
"('told', 'bus')",1,told bus
"('bus', 'full')",1,bus full
"('two', 'people')",1,two people
"('full', 'hotel')",1,full hotel
"('lovely', 'able')",1,lovely able
"('able', 'help')",1,able help
"('help', 'everything')",1,help everything
"('benefits', 'upon')",1,benefits upon
"('needed', 'enjoyed')",1,needed enjoyed
"('phiippo', 'slvia')",1,phiippo slvia
"('arrival', 'phiippo')",1,arrival phiippo
"('enjoyed', 'perks')",1,enjoyed perks
"('perks', 'booking')",1,perks booking
"('booking', 'directly')",1,booking directly
"('disappointment', 'staff')",1,disappointment staff
"('booked', 'amex')",1,booked amex
"('seem', 'like')",1,seem like
"('lot', 'insistence')",1,lot insistence
"('agreed', 'include')",1,agreed include
"('airport', 'good')",1,airport good
"('good', 'area')",1,good area
"('area', 'walking')",1,area walking
"('finally', 'agreed')",1,finally agreed
"('insistence', 'finally')",1,insistence finally
"('walking', 'popular')",1,walking popular
"('stop', 'train')",1,stop train
"('control', 'lot')",1,control lot
"('see', 'control')",1,see control
"('popular', 'bars')",1,popular bars
"('course', 'see')",1,course see
"('restaurants', 'promenade')",1,restaurants promenade
"('promenade', 'area')",1,promenade area
"('station', 'minute')",1,station minute
"('one', 'stop')",1,one stop
"('visited', 'nights')",1,visited nights
"('beds', 'great')",1,beds great
"('making', 'seem')",1,making seem
"('said', 'stunning')",1,said stunning
"('rate', 'making')",1,rate making
"('hotel', 'sleek')",1,hotel sleek
"('sleek', 'modern')",1,sleek modern
"('modern', 'comfortable')",1,modern comfortable
"('breakfast', 'rate')",1,breakfast rate
"('metro', 'one')",1,metro one
"('include', 'breakfast')",1,include breakfast
"('service', 'liked')",1,service liked
"('liked', 'location')",1,liked location
"('location', 'based')",1,location based
"('based', 'proximity')",1,based proximity
"('proximity', 'metro')",1,proximity metro
"('area', 'visited')",1,area visited
"('nights', 'stay')",1,nights stay
"('made', 'disappointment')",1,made disappointment
"('room', 'weather')",1,room weather
"('chose', 'also')",1,chose also
"('also', 'commanding')",1,also commanding
"('commanding', 'views')",1,commanding views
"('capri', 'could')",1,capri could
"('see', 'waterfront')",1,see waterfront
"('waterfront', 'room')",1,waterfront room
"('weather', 'overcast')",1,weather overcast
"('day', 'excursion')",1,day excursion
"('overcast', 'dimming')",1,overcast dimming
"('dimming', 'views')",1,dimming views
"('views', 'design')",1,views design
"('amex', 'care')",1,amex care
"('design', 'comfort')",1,design comfort
"('room', 'made')",1,room made
"('excursion', 'chose')",1,excursion chose
"('care', 'said')",1,care said
"('stay', 'see')",1,stay see
"('pool', 'chose')",1,pool chose
"('see', 'mount')",1,see mount
"('vesuvius', 'harbour')",1,vesuvius harbour
"('system', 'course')",1,system course
"('online', 'system')",1,online system
"('mattered', 'online')",1,mattered online
"('rooms', 'bar')",1,rooms bar
"('chose', 'romeo')",1,chose romeo
"('planned', 'day')",1,planned day
"('romeo', 'nearness')",1,romeo nearness
"('nearness', 'ferries')",1,nearness ferries
"('ferries', 'going')",1,ferries going
"('said', 'mattered')",1,said mattered
"('going', 'sorrento')",1,going sorrento
"('sorrento', 'planned')",1,sorrento planned
"('naples', 'consider')",1,naples consider
"('impressive', 'modernity')",1,impressive modernity
"('harbor', 'area')",1,harbor area
"('wery', 'good')",1,wery good
"('good', 'thing')",1,good thing
"('thing', 'windows')",1,thing windows
"('windows', 'dirty')",1,windows dirty
"('dirty', 'really')",1,dirty really
"('really', 'poor')",1,really poor
"('poor', 'seaview')",1,poor seaview
"('seaview', 'however')",1,seaview however
"('however', 'wery')",1,however wery
"('good', 'beds')",1,good beds
"('printing', 'error')",1,printing error
"('beds', 'room')",1,beds room
"('room', 'sleeping')",1,room sleeping
"('sleeping', 'quality')",1,sleeping quality
"('good', 'helpfull')",1,good helpfull
"('helpfull', 'excellent')",1,helpfull excellent
"('time', 'staff')",1,time staff
"('helpful', 'location')",1,helpful location
"('perfect', 'needs')",1,perfect needs
"('glimpse', 'see')",1,glimpse see
"('containers', 'glimpse')",1,containers glimpse
"('boat', 'containers')",1,boat containers
"('rusty', 'boat')",1,rusty boat
"('might', 'start')",1,might start
"('start', 'valid')",1,start valid
"('valid', 'years')",1,valid years
"('years', 'ago')",1,years ago
"('ago', 'today')",1,ago today
"('today', 'overall')",1,today overall
"('overall', 'design')",1,overall design
"('design', 'old')",1,design old
"('old', 'fashioned')",1,old fashioned
"('fashioned', 'general')",1,fashioned general
"('general', 'worn')",1,general worn
"('worn', 'see')",1,worn see
"('room', 'unclean')",1,room unclean
"('unclean', 'parking')",1,unclean parking
"('parking', 'place')",1,parking place
"('place', 'lot')",1,place lot
"('lot', 'rusty')",1,lot rusty
"('needs', 'allowed')",1,needs allowed
"('allowed', 'access')",1,allowed access
"('access', 'ferry')",1,access ferry
"('weeks', 'european')",1,weeks european
"('travel', 'riverboat')",1,travel riverboat
"('riverboat', 'days')",1,riverboat days
"('days', 'spa')",1,days spa
"('spa', 'treatment')",1,spa treatment
"('treatment', 'massage')",1,treatment massage
"('massage', 'one')",1,massage one
"('anywhere', 'spa')",1,anywhere spa
"('spa', 'unique')",1,spa unique
"('unique', 'beautiful')",1,unique beautiful
"('beautiful', 'offered')",1,beautiful offered
"('offered', 'many')",1,offered many
"('many', 'pools')",1,many pools
"('pools', 'steam')",1,pools steam
"('steam', 'options')",1,steam options
"('options', 'serene')",1,options serene
"('serene', 'even')",1,serene even
"('even', 'beautiful')",1,even beautiful
"('european', 'travel')",1,european travel
"('two', 'weeks')",1,two weeks
"('capri', 'return')",1,capri return
"('nice', 'two')",1,nice two
"('return', 'business')",1,return business
"('business', 'bring')",1,business bring
"('naples', 'home')",1,naples home
"('home', 'hipster')",1,home hipster
"('hipster', 'vibe')",1,hipster vibe
"('vibe', 'lobby')",1,vibe lobby
"('lobby', 'staff')",1,lobby staff
"('staff', 'first')",1,staff first
"('first', 'impressions')",1,first impressions
"('impressions', 'perfect')",1,impressions perfect
"('perfect', 'rooms')",1,perfect rooms
"('rooms', 'extremely')",1,rooms extremely
"('comfortable', 'room')",1,comfortable room
"('room', 'included')",1,room included
"('included', 'nice')",1,included nice
"('nice', 'oversized')",1,nice oversized
"('oversized', 'tub')",1,oversized tub
"('error', 'might')",1,error might
"('must', 'printing')",1,must printing
"('second', 'floor')",1,second floor
"('nights', 'loved')",1,nights loved
"('compensate', 'claimed')",1,compensate claimed
"('claimed', 'rooms')",1,claimed rooms
"('rooms', 'available')",1,rooms available
"('available', 'although')",1,available although
"('although', 'hotel')",1,although hotel
"('hotel', 'showing')",1,hotel showing
"('showing', 'availability')",1,showing availability
"('online', 'stayed')",1,online stayed
"('minute', 'good')",1,minute good
"('hotel', 'must')",1,hotel must
"('location', 'promenade')",1,location promenade
"('promenade', 'egg')",1,promenade egg
"('egg', 'castle')",1,egg castle
"('castle', 'train')",1,castle train
"('station', 'staff')",1,station staff
"('friendly', 'polite')",1,friendly polite
"('polite', 'spoke')",1,polite spoke
"('spoke', 'excellent')",1,spoke excellent
"('anything', 'compensate')",1,anything compensate
"('upgrade', 'anything')",1,upgrade anything
"('offer', 'upgrade')",1,offer upgrade
"('apologetic', 'offer')",1,apologetic offer
"('loud', 'six')",1,loud six
"('six', 'lane')",1,six lane
"('lane', 'highway')",1,lane highway
"('highway', 'extremely')",1,highway extremely
"('extremely', 'dirty')",1,extremely dirty
"('dirty', 'window')",1,dirty window
"('window', 'view')",1,window view
"('industrial', 'shipping')",1,industrial shipping
"('shipping', 'complex')",1,shipping complex
"('complex', 'harbor')",1,complex harbor
"('harbor', 'gulf')",1,harbor gulf
"('gulf', 'vesuvius')",1,gulf vesuvius
"('vesuvius', 'worst')",1,vesuvius worst
"('part', 'pointed')",1,part pointed
"('pointed', 'concierge')",1,pointed concierge
"('concierge', 'hardly')",1,concierge hardly
"('hardly', 'apologetic')",1,hardly apologetic
"('excellent', 'english')",1,excellent english
"('english', 'happy')",1,english happy
"('happy', 'help')",1,happy help
"('complained', 'view')",1,complained view
"('port', 'whilst')",1,port whilst
"('whilst', 'port')",1,whilst port
"('port', 'certainly')",1,port certainly
"('certainly', 'attractive')",1,certainly attractive
"('attractive', 'really')",1,attractive really
"('really', 'something')",1,really something
"('something', 'hotel')",1,something hotel
"('lot', 'view')",1,lot view
"('view', 'higher')",1,view higher
"('higher', 'floors')",1,higher floors
"('floors', 'almost')",1,floors almost
"('almost', 'blocks')",1,almost blocks
"('blocks', 'port')",1,blocks port
"('port', 'provides')",1,port provides
"('provides', 'beautiful')",1,provides beautiful
"('view', 'slh')",1,view slh
"('slh', 'start')",1,slh start
"('good', 'port')",1,good port
"('gentleman', 'complained')",1,gentleman complained
"('help', 'request')",1,help request
"('review', 'gentleman')",1,review gentleman
"('request', 'decor')",1,request decor
"('decor', 'communal')",1,decor communal
"('communal', 'areas')",1,communal areas
"('areas', 'modern')",1,areas modern
"('sleek', 'beds')",1,sleek beds
"('comfortable', 'rooftop')",1,comfortable rooftop
"('pool', 'choice')",1,pool choice
"('choice', 'restaurants')",1,choice restaurants
"('restaurants', 'view')",1,restaurants view
"('vesuvius', 'pool')",1,vesuvius pool
"('pool', 'terrace')",1,pool terrace
"('beautiful', 'backdrop')",1,beautiful backdrop
"('backdrop', 'drinks')",1,backdrop drinks
"('drinks', 'breakfast')",1,drinks breakfast
"('lunch', 'read')",1,lunch read
"('read', 'earlier')",1,read earlier
"('earlier', 'review')",1,earlier review
"('beautiful', 'music')",1,beautiful music
"('music', 'lovely')",1,music lovely
"('beds', 'comfy')",1,beds comfy
"('time', 'day')",1,time day
"('birthday', 'bash')",1,birthday bash
"('bash', 'breakfast')",1,bash breakfast
"('room', 'cocktails')",1,room cocktails
"('cocktails', 'night')",1,cocktails night
"('night', 'pool')",1,night pool
"('also', 'great')",1,also great
"('view', 'perfect')",1,view perfect
"('perfect', 'every')",1,perfect every
"('day', 'unfortunately')",1,day unfortunately
"('comfy', 'pool')",1,comfy pool
"('unfortunately', 'leave')",1,unfortunately leave
"('leave', 'back')",1,leave back
"('soon', 'rooms')",1,soon rooms
"('clean', 'calm')",1,clean calm
"('calm', 'safe')",1,calm safe
"('safe', 'booked')",1,safe booked
"('booked', 'sea')",1,booked sea
"('rooms', 'likely')",1,rooms likely
"('create', 'birthday')",1,create birthday
"('support', 'create')",1,support create
"('much', 'support')",1,much support
"('got', 'much')",1,got much
"('designed', 'clean')",1,designed clean
"('clean', 'friendly')",1,clean friendly
"('friendly', 'caring')",1,friendly caring
"('caring', 'housekeeping')",1,caring housekeeping
"('housekeeping', 'thank')",1,housekeeping thank
"('thank', 'much')",1,thank much
"('much', 'staff')",1,much staff
"('bar', 'nicest')",1,bar nicest
"('nicest', 'crew')",1,nicest crew
"('crew', 'ever')",1,crew ever
"('ever', 'met')",1,ever met
"('met', 'hotel')",1,met hotel
"('like', 'mum')",1,like mum
"('mum', 'saw')",1,mum saw
"('saw', 'wishes')",1,saw wishes
"('wishes', 'eyes')",1,wishes eyes
"('eyes', 'got')",1,eyes got
"('likely', 'factories')",1,likely factories
"('factories', 'port')",1,factories port
"('view', 'welcoming')",1,view welcoming
"('lobby', 'also')",1,lobby also
"('floor', 'staff')",1,floor staff
"('friendly', 'also')",1,friendly also
"('offers', 'parking')",1,offers parking
"('parking', 'euros')",1,parking euros
"('euros', 'per')",1,euros per
"('day', 'best')",1,day best
"('best', 'thing')",1,best thing
"('thing', 'great')",1,thing great
"('port', 'modern')",1,port modern
"('modern', 'chic')",1,modern chic
"('chic', 'property')",1,chic property
"('property', 'heart')",1,property heart
"('heart', 'napoli')",1,heart napoli
"('napoli', 'great')",1,napoli great
"('great', 'bars')",1,great bars
"('restaurants', 'rooms')",1,restaurants rooms
"('clean', 'rug')",1,clean rug
"('also', 'michelin')",1,also michelin
"('foosball', 'lobby')",1,foosball lobby
"('welcoming', 'chocolate')",1,welcoming chocolate
"('chess', 'foosball')",1,chess foosball
"('chocolate', 'rooms')",1,chocolate rooms
"('rooms', 'location')",1,rooms location
"('location', 'bad')",1,location bad
"('bad', 'reception')",1,bad reception
"('helpful', 'professional')",1,helpful professional
"('breakfast', 'options')",1,breakfast options
"('staff', 'slow')",1,staff slow
"('slow', 'bad')",1,slow bad
"('wifi', 'chose')",1,wifi chose
"('chose', 'place')",1,chose place
"('place', 'taking')",1,place taking
"('capri', 'next')",1,capri next
"('morning', '5min')",1,morning 5min
"('5min', 'walk')",1,5min walk
"('walk', 'really')",1,walk really
"('offers', 'pool')",1,offers pool
"('pool', 'chess')",1,pool chess
"('castle', 'room')",1,castle room
"('kings', 'new')",1,kings new
"('like', 'kings')",1,like kings
"('drink', 'drinks')",1,drink drinks
"('always', 'came')",1,always came
"('came', 'many')",1,came many
"('many', 'snacks')",1,many snacks
"('snacks', 'think')",1,snacks think
"('think', 'reused')",1,think reused
"('reused', 'stale')",1,reused stale
"('stale', 'put')",1,stale put
"('put', 'eating')",1,put eating
